Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Nom frontière espagnol,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Unité espagnol,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Commentaire espagnol,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Poste,25763,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-20,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,0,0,0,0,0,0,,,,Combustion,,,,2.21,2.17,0.0177,0,0.0178,,,,,,,,,,,0,0.127433
Poste,25764,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.254,0.25,2.01E-03,0,2.12E-03,,,,,,,,,,,0,0.013428
Poste,26649,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/tonne,,ADEME,,,,,Outre-mer,Polynésie Française,Polynesia,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3212,,,,,,,,,,,,,,,,
Poste,26650,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,Outre-mer,Polynésie Française,Polynesia,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.263,,,,,,,,,,,,,,,,
Poste,26651,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,Outre-mer,Polynésie Française,Polynesia,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3056,,,,,,,,,,,,,,,,
Poste,26652,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,Outre-mer,Polynésie Française,Polynesia,,18/09/2018,18/09/2018,Dec-21,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,0,0,0,0,0,0,,,,Combustion,,,,2.43,,,,,,,,,,,,,,,,
Poste,26657,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/tonne,,ADEME,,,,,Outre-mer,Réunion,Réunion Island,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3212,,,,,,,,,,,,,,,,
Poste,26658,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,Outre-mer,Réunion,Réunion Island,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.264,,,,,,,,,,,,,,,,
Poste,26659,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,Outre-mer,Réunion,Réunion Island,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3066,,,,,,,,,,,,,,,,
Poste,26660,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,Outre-mer,Réunion,Réunion Island,,18/09/2018,18/09/2018,Dec-21,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,0,0,0,0,0,0,,,,Combustion,,,,2.43,,,,,,,,,,,,,,,,
Poste,26681,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/tonne,,ADEME,,,,,Outre-mer,"Guadeloupe, Martinique, Guyane, Corse","Guadeloupe, Martinique, French Guyana, Corsica",,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3212,,,,,,,,,,,,,,,,
Poste,26682,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,Outre-mer,"Guadeloupe, Martinique, Guyane, Corse","Guadeloupe, Martinique, French Guyana, Corsica",,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.264,,,,,,,,,,,,,,,,
Poste,26683,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,Outre-mer,"Guadeloupe, Martinique, Guyane, Corse","Guadeloupe, Martinique, French Guyana, Corsica",,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3066,,,,,,,,,,,,,,,,
Poste,26684,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,Outre-mer,"Guadeloupe, Martinique, Guyane, Corse","Guadeloupe, Martinique, French Guyana, Corsica",,18/09/2018,18/09/2018,Dec-21,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,0,0,0,0,0,0,,,,Combustion,,,,2.43,,,,,,,,,,,,,,,,
Poste,26705,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/tonne,,ADEME,,,,,Outre-mer,Nouvelle Calédonie,New Caledonia,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,3212,,,,,,,,,,,,,,,,
Poste,26706,élément décomposé par poste,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,Outre-mer,Nouvelle Calédonie,New Caledonia,,18/09/2018,18/09/2018,Dec-21,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.264,,,,,,,,,,,,,,,,
